dataset,layer,mean_gold_logit,mean_gold_margin,mean_gold_prob,mean_gold_rank,mean_median_gold_rank,mean_token_count,median_gold_margin,median_gold_rank,method,n_rows,n_samples,receiver_prompt_mode,token_group
hotpotqa,16,0.8801749093191964,-8.190974644252233,2.5035217791378292e-05,36490.67559523809,30970.964285714286,4.714285714285714,-8.03485107421875,30911.875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,17,0.7855486188616071,-7.770068940662202,3.063825435515363e-05,32556.507142857146,27086.714285714286,4.714285714285714,-7.18505859375,24657.875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,18,0.15550704229445686,-8.372989981515067,2.7126609839307692e-05,38477.42380952381,30765.678571428572,4.714285714285714,-8.0582275390625,29789.0,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,19,-0.13528805687313986,-9.010474068777901,2.1296875196022283e-05,43417.95952380953,39424.857142857145,4.714285714285714,-8.55950927734375,34407.375,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,20,-0.40361691429501484,-8.868814086914062,2.7020419311341026e-05,42606.43928571429,35312.21428571428,4.714285714285714,-8.591552734375,37524.125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,21,-0.10608723958333335,-9.305473400297618,3.5513718595071526e-05,43339.90952380952,37120.892857142855,4.714285714285714,-8.913330078125,38339.875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,22,1.6472615559895831,-7.78051002139137,0.0005407905580546702,17702.897619047617,15048.5,4.714285714285714,-7.521728515625,7145.5,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,23,3.3934407552083328,-6.3360979352678575,0.004277038233657444,4547.264285714286,2131.035714285714,4.714285714285714,-5.869384765625,1525.75,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,24,3.2862269810267857,-5.188680013020833,0.010885279437484815,1620.1916666666664,976.9285714285714,4.714285714285714,-4.81982421875,364.8125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,25,4.071933128720238,-5.6878324962797615,0.027725574580133482,1106.067857142857,529.75,4.714285714285714,-5.235026041666666,309.0,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,26,4.530919828869047,-4.9317289806547615,0.03249847463474382,548.8976190476191,191.96428571428572,4.714285714285714,-4.298828125,82.25,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,27,5.481975446428572,-4.524572172619047,0.060504221942400564,468.47380952380956,110.32142857142857,4.714285714285714,-4.017578125,28.75,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,28,5.790285528273809,-5.484751674107144,0.04014965688459854,890.6791666666667,203.39285714285714,4.714285714285714,-4.00390625,25.6875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,29,7.055301339285714,-5.4644531249999995,0.06829936778718723,705.8815476190475,128.57142857142858,4.714285714285714,-4.64453125,15.625,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,30,6.0163411458333345,-5.7424572172619035,0.0515324328879581,667.2642857142857,109.85714285714286,4.714285714285714,-5.474609375,36.375,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,31,7.2689453125000005,-5.5115234375,0.059232289261592276,118.01130952380954,41.392857142857146,4.714285714285714,-5.450520833333334,40.25,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,32,9.43984375,-3.919233630952381,0.11717679875033245,24.64345238095238,8.107142857142858,4.714285714285714,-4.22265625,6.375,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,33,14.243303571428571,-2.1260044642857143,0.2358571580942553,5.967261904761905,4.785714285714286,4.714285714285714,-1.71875,4.875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,34,16.193936011904764,-0.9056919642857143,0.3182525049037901,4.124404761904763,3.607142857142857,4.714285714285714,-0.9296875,3.375,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,35,25.435863095238094,-5.761235119047619,0.1128374441453093,555.1702380952381,352.39285714285717,4.714285714285714,-5.909375,378.025,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,0,2.025726318359375,-14.95191283122802,5.859096347084783e-06,79049.90119554925,80256.890625,4.140625,-14.572265625,79442.28333333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,1,1.6619376537474722,-15.582551426508209,7.414989558196241e-06,92310.06086309525,96649.5625,4.140625,-15.361490885416666,94253.06666666667,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,2,1.5360369405705174,-15.645575571266606,3.152590320782218e-05,94901.56823762176,97622.8203125,4.140625,-15.839388020833333,95443.28333333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,3,1.3966588697392188,-15.14939862907707,4.418507532923327e-05,95814.59801136365,100116.9609375,4.140625,-15.322709517045453,96248.13333333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,4,1.423627382929707,-12.852264628704491,8.613522685326565e-05,91537.34249695615,92822.0703125,4.140625,-13.409388950892858,95211.9,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,5,1.7410793280543446,-10.749156842409787,7.607695841949899e-05,72710.35160308439,70621.609375,4.140625,-10.78173828125,67840.4375,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,6,1.8408019891548986,-11.184462549366478,7.255037279070888e-05,64146.35051745131,59761.15625,4.140625,-11.14140625,59443.525,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,7,1.9748830363863985,-11.037514445688817,0.00011700304560946476,55055.10714793019,48894.2109375,4.140625,-10.986979166666668,50272.25,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,8,2.1696140743695294,-10.257844347742212,0.0001032012997717228,53552.64929146374,48304.4609375,4.140625,-10.80859375,47734.33333333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,9,2.2988189032583524,-10.736751645984072,0.0001863923199871244,57971.94907501352,54275.1171875,4.140625,-10.98359375,50338.375,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,10,2.7208207904518433,-10.752784965771102,0.0007882904968998303,57462.56636059253,52823.15625,4.140625,-11.1849609375,49610.45833333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,11,2.611470089536724,-9.308765046421067,0.00032272557710548194,45890.881762378245,40165.8046875,4.140625,-9.7099609375,38522.1875,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,12,2.5230015571499287,-9.52501054630651,0.0002822768262424311,46281.62067775975,39541.25,4.140625,-9.652180989583332,39763.91666666667,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,13,2.5316868208187473,-9.26221330981234,0.0005050894543205812,41182.11687127976,35521.8515625,4.140625,-9.4794921875,31462.104166666664,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,14,2.1629224868047805,-9.231186008866215,0.0004406817701140229,44366.43963068181,37460.3359375,4.140625,-9.508602627840908,38685.81818181818,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,15,2.0733423583951356,-8.742131454087955,0.0015873561513001096,42301.75276143128,36073.859375,4.140625,-9.000110973011363,35938.68181818182,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,16,2.2937659135628574,-7.760897595128971,0.0009837935166964718,31658.563886634205,23878.1328125,4.140625,-8.03662109375,27438.916666666664,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,17,2.135075558005989,-7.501493642650124,0.0011000324887863488,30630.0812702922,23069.8984375,4.140625,-7.661588541666667,26095.800000000003,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,18,2.186726396734064,-7.9273431844009465,0.00313224232994131,30939.618225784634,24205.765625,4.140625,-7.8521484374999995,25674.25,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,19,2.0745191128222973,-7.660784995504272,0.0013207842473479533,31046.592361674786,25181.6640625,4.140625,-7.94012451171875,22256.1875,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,20,2.0878809165128893,-7.710657516083159,0.0012352987800461543,31287.902205086582,24400.671875,4.140625,-7.91650390625,23214.791666666664,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,21,2.5336402529761903,-7.886704693418562,0.0025266533311651073,28882.979102408008,23735.59375,4.140625,-8.02919921875,24116.63333333333,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,22,2.983270534498868,-7.531929068957571,0.007496668462690635,20806.41667850379,14733.4453125,4.140625,-7.958333333333334,13847.083333333332,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,23,3.707066123929376,-7.612664983179663,0.035038945855388755,13120.585521509742,8572.2265625,4.140625,-7.822591145833334,6435.333333333334,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,24,3.342888293624956,-7.083730221323639,0.038761939753962214,9917.308830492424,5840.2578125,4.140625,-6.71875,3155.7380952380954,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,25,4.50288204837155,-8.480383961334887,0.09454816949437049,9100.246215503246,5129.078125,4.140625,-8.98828125,3156.2976190476193,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,26,4.857525001563036,-8.412468424607146,0.09696508465764482,8269.522512513528,4720.1875,4.140625,-9.02593994140625,2508.729166666667,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,27,5.649669974190849,-8.597769931281285,0.11540884265319643,8401.928586647728,4340.7265625,4.140625,-9.304361979166668,1651.0,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,28,6.241244110503755,-8.918249260708366,0.11762113974997669,8016.5399587391785,3611.9140625,4.140625,-9.8609375,2213.541666666667,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,29,7.464827751390861,-11.28036838548008,0.12415099873043184,8202.26638764881,3234.28125,4.140625,-11.410807291666666,1658.142857142857,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,30,7.535308756972806,-10.61255474833699,0.1308436980779916,7445.4083705357125,2798.125,4.140625,-10.763281249999999,1827.8666666666668,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,31,8.011620752739184,-9.587738457386628,0.15337247244730845,6566.019473755412,2455.7265625,4.140625,-9.835416666666667,1310.2,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,32,8.813491372112589,-8.627699590245369,0.171022989576546,6165.931202651515,1829.25,4.140625,-9.154296875,735.0,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,33,9.73383837035208,-7.230838180310799,0.20947333658112785,4023.572622429653,1199.1796875,4.140625,-7.664337158203125,415.6,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,34,9.590800680845845,-4.130239062288623,0.21220024882923016,1812.544370603355,484.9140625,4.140625,-4.03125,114.15,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,35,17.872352289637448,-9.440536855722401,0.08986418832629234,1660.5824641504332,786.9765625,4.140625,-8.8875,404.20000000000005,mse_then_ce,64,64,context_unaware,all_answer_tokens
hotpotqa,0,1.7476656595865885,-14.38929180569119,3.1788065795501867e-06,83077.60802951388,83511.5546875,2.375,-14.1259765625,80814.41666666666,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,1,1.8660569932725692,-15.180020480685764,2.2495056367703484e-06,93707.55078125001,94678.4296875,2.375,-15.08203125,95011.1,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,2,1.9320177290174696,-15.306081771850584,7.508127541631724e-06,94717.29131944444,95299.78125,2.375,-14.969685872395832,96985.325,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,3,1.8414469401041669,-14.818031141493055,7.758191437819206e-06,94844.38055555557,95896.3828125,2.375,-14.861328125,99274.6,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,4,1.9713056617312958,-12.410470596949258,3.3573613652784097e-05,86477.55512152777,86785.6875,2.375,-13.142578125,82804.625,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,5,2.0772532092200384,-10.371005254321627,5.2947591491204e-05,67804.01653645832,64788.953125,2.375,-10.400390625,65500.83333333333,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,6,2.1818512068854434,-10.843829674190944,3.277675753402299e-05,59962.632769097225,56931.2734375,2.375,-10.77734375,50578.5625,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,7,2.2557441287570525,-10.86444630093045,3.338156628815412e-05,51168.006597222215,47441.75,2.375,-10.68478732638889,39482.5,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,8,2.457984224955241,-9.95437200334337,6.560799183652293e-05,51389.683940972216,48144.6171875,2.375,-10.034375,45650.2,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,9,2.648481029934354,-10.46781128777398,0.00018086518703220247,54832.89435763889,51843.9921875,2.375,-10.817708333333332,48505.16666666667,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,10,3.1338453557756214,-10.418137608634101,0.0007707646636453865,52487.34778645833,49099.9765625,2.375,-10.809895833333332,44989.65,mse_then_ce,64,64,context_unaware,critical_tokens
